City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,puerto madryn,-42.7692,-65.0385,59.65,35,3,27.38,AR,1699415251
336,savyntsi,49.4026,37.0627,44.42,80,30,6.98,UA,1699415251
337,bubaque,11.2833,-15.8333,83.48,70,18,11.07,GW,1699415251
338,antsiranana,-12.2787,49.2917,77.76,69,20,9.22,MG,1699415251
339,machali,-34.1833,-70.6667,55.0,69,56,2.95,CL,1699415252
340,srivardhan,18.0333,73.0167,85.41,61,28,2.82,IN,1699415252
341,shahr-e babak,30.1165,55.1186,55.47,33,0,2.75,IR,1699415178
342,naryn,41.4287,75.9911,44.37,30,100,2.04,KG,1699415252
343,al kharijah,25.4514,30.5464,70.97,34,0,7.94,EG,1699415252
344,rehoboth,-23.3167,17.0833,56.95,19,0,5.44,NA,1699415253
345,paita,-5.0892,-81.1144,68.11,80,2,12.35,PE,1699415253
346,bardai,11.65,7.2333,68.77,24,3,6.91,NG,1699415253
347,sao jose da coroa grande,-8.8978,-35.1478,76.66,83,53,7.43,BR,1699415253
348,brezina,33.0989,1.2608,50.68,53,27,14.07,DZ,1699415122
349,savalou,7.9281,1.9756,75.33,91,58,3.51,BJ,1699415254
350,mezhdurechenskiy,59.6,65.9333,33.13,81,100,6.8,RU,1699415254
351,karatas,36.582,35.3701,61.45,80,0,4.38,TR,1699415254
352,nar'yan-mar,67.6713,53.087,33.12,100,100,8.99,RU,1699415255
353,quellon,-43.1167,-73.6167,48.04,94,99,6.44,CL,1699415255
354,agadez,19.75,10.25,69.13,19,36,1.79,NE,1699415255
355,bontang,0.1333,117.5,86.59,67,92,3.47,ID,1699415256
356,saldanha,-33.0117,17.9442,46.45,78,0,11.39,ZA,1699415256
357,santana,-0.0583,-51.1817,82.58,74,40,9.22,BR,1699415256
358,acapulco de juarez,16.8634,-99.8901,81.18,84,83,5.14,MX,1699415077
359,gongchangling,41.1167,123.45,38.25,85,100,9.04,CN,1699415256
360,grabs,47.1825,9.4439,39.87,93,36,1.99,CH,1699415257
361,zapfendorf,50.0178,10.9324,47.98,71,98,1.01,DE,1699415257
362,southeast arcadia,27.1863,-81.8521,71.47,82,37,5.7,US,1699415257
363,anisoc,1.8658,10.7689,71.17,99,100,1.34,GQ,1699415257
